PM2.5,Mortalidad
8.7,8.0
13.1,10.2
0.0,7.6
6.3,8.4
0.0,10.1
5.8,8.7
9.1,7.4
23.2,8.2
12.0,8.5
8.0,8.3
10.3,10.7
13.0,8.1
11.2,9.6
12.0,6.6
9.6,6.8
11.6,9.1
19.7,6.3
13.3,4.8
0.0,9.3
11.9,6.3
12.9,7.2
0.0,9.6
6.0,7.1
0.0,10.1
11.9,9.6
8.5,6.7
23.3,6.3
11.8,11.2
11.4,14.4
15.1,11.5
12.6,8.0
11.6,9.5
11.8,5.6
8.7,7.3
11.2,12.2
19.6,6.4
6.4,6.3
0.0,11.5
17.1,12.1
15.3,10.9
0.0,11.1
14.5,5.0
19.8,11.2
15.9,9.3
20.9,7.0
13.5,9.8
14.9,5.1
15.6,10.7
16.7,10.5
17.1,5.1
14.3,7.0
14.9,7.9
12.6,8.0
15.2,7.3
14.4,8.3
11.7,7.9
13.9,11.5
14.4,7.0
13.8,8.8
0.0,9.1
9.4,10.1
17.5,8.6
13.4,8.2
19.5,7.9
15.9,9.6
11.5,0.0
12.6,17.2
14.0,8.6
14.2,8.3
10.1,6.9
11.5,13.0
12.7,7.6
11.5,5.6
14.8,7.0
9.9,8.8
10.7,10.2
14.9,11.3
10.9,4.5
0.0,10.3
14.0,4.3
17.5,10.7
11.7,7.8
20.0,7.9
23.7,9.3
13.4,6.5
14.5,8.0
15.8,8.0
14.2,7.9
12.4,8.0
13.4,7.2
14.1,8.8
13.6,11.6
23.4,12.7
10.8,8.3
13.7,11.6
